Academic Year,Age,Level,Starts
201213,Under 19,Total,114500
201213,19-24,Total,165400
201213,25+,Total,230300
201213,Total,Intermediate Apprenticeship,292800
201213,Total,Advanced Apprenticeship,207700
201213,Total,Higher Apprenticeship,9800
201213,Total,Total,510200
201314,Under 19,Total,119800
201314,19-24,Total,159100
201314,25+,Total,161600
201314,Total,Intermediate Apprenticeship,286500
201314,Total,Advanced Apprenticeship,144700
201314,Total,Higher Apprenticeship,9200
201314,Total,Total,440400
201415,Under 19,Total,125900
201415,19-24,Total,160200
201415,25+,Total,213900
201415,Total,Intermediate Apprenticeship,298300
201415,Total,Advanced Apprenticeship,181800
201415,Total,Higher Apprenticeship,19800
201415,Total,NA,100
201415,Total,Total,499900
201516,Under 19,Total,131400
201516,19-24,Total,153900
201516,25+,Total,224100
201516,Total,Intermediate Apprenticeship,291300
201516,Total,Advanced Apprenticeship,190900
201516,Total,Higher Apprenticeship,27200
201516,Total,NA,0
201516,Total,Total,509400
201617,Under 19,Total,122800
201617,19-24,Total,142200
201617,25+,Total,229900
201617,Total,Intermediate Apprenticeship,260700
201617,Total,Advanced Apprenticeship,197700
201617,Total,Higher Apprenticeship,36600
201617,Total,Total,494900
201718,Under 19,Total,106600
201718,19-24,Total,113700
201718,25+,Total,155500
201718,Total,Intermediate Apprenticeship,161400
201718,Total,Advanced Apprenticeship,166200
201718,Total,Higher Apprenticeship,48200
201718,Total,Total,375800